kepoi_name,koi_disposition,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg
K00730.01,CONFIRMED,14.78767172,3.46,827.0,110.42,5814.0,4.269
K00627.02,CONFIRMED,4.16536757,1.0,1048.0,284.49,5604.0,4.52
K00628.01,CONFIRMED,14.48584765,2.88,784.0,89.16,5784.0,4.352
K00629.01,CONFIRMED,40.6992062,3.2,685.0,52.05,6419.0,4.175
K00631.01,CONFIRMED,15.45805668,9.11,871.0,136.4,5868.0,4.169
K00682.01,CANDIDATE,562.1725914,10.9,241.0,0.8,5589.0,4.229
K00683.01,CANDIDATE,278.1243979,5.86,286.0,1.57,5799.0,4.408
K00684.01,CANDIDATE,4.034914368,6.95,1452.0,1052.15,5548.0,3.964
K00685.01,CONFIRMED,3.173914037,3.07,1655.0,1769.83,6432.0,4.164
K00686.01,CANDIDATE,52.51354873,12.43,472.0,11.73,5589.0,4.421
K00687.01,CANDIDATE,4.17838675,3.13,1430.0,988.44,5746.0,4.039
K00730.02,CONFIRMED,9.84824649,2.68,947.0,189.82,5814.0,4.269
K00730.03,CONFIRMED,19.7243672,3.57,751.0,75.23,5814.0,4.269
K00111.03,CONFIRMED,51.75530504,2.61,515.0,16.6,5979.0,4.394
K07630.01,CANDIDATE,16.2982201,0.78,388.0,5.38,3905.0,4.736
K00730.04,CONFIRMED,7.38443269,2.42,1042.0,278.67,5814.0,4.269
K00099.01,CANDIDATE,2190.701035,3.12,109.0,0.03,4965.0,4.555
K00632.01,CONFIRMED,7.23858162,1.34,816.0,104.51,5411.0,4.561
K00633.01,CONFIRMED,161.4746786,3.25,343.0,3.27,5761.0,4.383
K00635.01,CANDIDATE,16.71987303,2.52,767.0,81.63,6020.0,4.389
K00688.01,CONFIRMED,3.275821982,3.54,1730.0,2121.23,6185.0,4.013
K00689.01,CONFIRMED,15.87360981,1.53,632.0,37.68,5656.0,4.607
K00547.03,CANDIDATE,12.3860474,1.11,679.0,50.23,5121.0,4.457
K00107.01,CONFIRMED,7.256962446,3.53,1163.0,432.1,5858.0,4.112
K00691.01,CONFIRMED,29.66631669,2.83,644.0,40.68,5956.0,4.322
K00691.02,CONFIRMED,16.2254975,1.21,788.0,90.93,5956.0,4.322
K00732.01,CONFIRMED,1.260258822,3.57,1569.0,1435.82,5550.0,4.5
K00732.02,CANDIDATE,3.29534567,1.23,1139.0,397.37,5550.0,4.5
K00732.03,CANDIDATE,5.25449393,1.41,975.0,213.25,5550.0,4.5
K00733.01,CONFIRMED,5.924993927,3.15,758.0,77.91,5016.0,4.641
K00733.02,CONFIRMED,11.34934848,2.39,610.0,32.75,5016.0,4.641
K00638.01,CONFIRMED,23.6421965,2.9,595.0,29.65,5750.0,4.538
